what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1582036704355
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1582036713222
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582036737882
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582036759429
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1582036760765
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582036796530
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1582036818374
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1582036818540
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1582036818608
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582036851828
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1582036856260
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582036858009
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582037040830
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1582037047299
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582037062643
started,bundle,org.eclipse.mylyn.wikitext.ui,1.3.0.v20100608-0100-e3x,"org.eclipse.mylyn.wikitext.ui",1582037171633
started,bundle,org.eclipse.mylyn.wikitext.core,1.3.1.v20100823-0100-e3x,"org.eclipse.mylyn.wikitext.core",1582037171725
started,bundle,org.eclipse.wst.sse.ui,1.2.2.v201008232126,"org.eclipse.wst.sse.ui",1582037205719
started,bundle,org.eclipse.wst.sse.core,1.1.502.v201008311901,"org.eclipse.wst.sse.core",1582037205765
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582037261470
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582037264894
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582037349614
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582037354405
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582037364425
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582037368330
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582037373530
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582037376475
